ind,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023
0,484485237,495774155,504295157,543340531,565244876,557014848,554525485,641260448,722273095,672555075
10,22976848,24714861,25852916,26998744,27300704,29199971,32697006,34363550,37260435,40618249
11,5875089,6148385,6272284,6584569,6662313,6704324,6710599,6569719,7366628,7689044
12,2129580,2326804,2324432,2335774,2195648,2371804,2126623,2039852,2492654,2540211
13,7202394,7377764,7457788,7190215,7118342,6968894,8474455,7872786,7923300,7261476
14,7928772,7813128,7729537,7627546,7281143,7274237,6997527,8206288,9281909,9161191
15,2021920,2078124,2127843,1916012,2013570,1971170,1345982,1419995,1585784,1542883
16,1719894,2059454,2153293,2166638,2135364,2111491,2037100,2349065,2434683,2331681
17,7195330,7490072,8072886,7891899,8172600,8162957,9010860,8786771,9283039,9152246
18,2059594,2198909,2290797,2325466,2324218,2434337,2437100,2506540,2661453,2737097
19,18991177,16488255,16993756,20844189,25704441,24225606,13895913,20423003,55015609,43859733
20,41529207,41707758,43799671,46873604,50157571,47673880,46473768,57695110,58581494,57095713
21,8630228,9637485,10595915,11457782,12352477,13627076,15887251,18087661,20098669,24295550
22,22603392,24734024,25522150,25610383,25978553,25977661,25766741,27238811,29990284,29259115
23,14349377,15193210,15816646,15972709,15619373,14959445,14527223,15727523,16877519,17638304
24,26780111,24988244,25734436,30045809,31312760,30871325,30446266,42329904,43724779,40162407
25,29058098,29713957,30066420,30357025,29491449,29983718,28394361,29956351,31823860,33635880
26,113026623,114729245,114772485,136595200,146167844,136796116,138368572,170956150,174452905,114161372
27,8048804,9153029,10120035,11132775,11532355,11517717,12451138,13910101,15909007,15453675
28,20866621,23062865,24139441,25880319,28076063,29507780,33186568,35403436,47491740,47305307
29,37259657,38796888,39318524,45196425,46709077,44869299,45294612,50571371,54515354,56624144
30,59574635,60884425,56533622,55096799,53255016,55393235,54180253,61754361,70416323,81484563
31,20536736,19964770,20184844,15988349,15967667,16747294,14673359,13098433,12746524,17420323
32,2164613,2460042,2620815,3105483,3164630,3161407,3743240,3863907,3701849,3935219
33,1956537,2052457,2198347,2276934,2326608,2377540,2449603,2645886,2805683,2813829
