birthplace,code
52000,4
45675,8
60016,12
71023,16
26065,28
30005,32
70010,36
45000,40
26043,44
52110,50
55100,51
26044,52
42000,56
16010,60
52120,64
30010,68
45700,70
45720,70
30015,76
30090,76
21010,84
45650,100
52130,104
46535,112
51100,116
60032,120
15000,124
60033,132
52150,144
30020,152
50000,156
59900,156
50040,158
30025,170
60096,178
60095,180
21020,188
45730,191
25000,192
45213,203
45200,203
40000,208
26010,212
26054,212
30030,218
21030,222
60037,226
60044,231
60040,232
46100,233
71021,242
40100,246
42100,250
55300,268
45300,276
49900,276
60023,288
43300,300
26055,308
21040,320
30040,328
26020,332
21050,340
50010,344
45400,348
40200,352
52100,356
51200,360
53000,364
53200,368
41400,372
53400,376
43400,380
60038,384
26030,388
50100,392
55500,398
53500,400
60045,404
50200,410
50220,410
54350,414
51300,418
53700,422
46200,428
60034,430
60019,434
46300,440
51400,458
20000,484
50300,496
46540,498
60014,504
52200,524
42500,528
70020,554
21060,558
60031,566
40400,578
72000,583
71024,584
52140,586
21070,591
30070,600
30050,604
51500,608
45500,616
43600,620
43610,620
45600,642
46500,643
46590,643
26070,659
26075,662
26091,662
26080,670
54000,682
60035,686
45750,688
60036,694
51600,702
45212,703
51800,704
60050,706
60094,710
60099,710
60070,716
43800,724
60018,729
40500,752
42600,756
54100,760
51700,764
60039,768
71022,776
26060,780
54500,784
54200,792
60065,800
46530,804
45740,807
60012,818
41000,826
41300,826
41100,826
41410,826
60060,834
30060,858
55400,860
30065,862
54400,887
60097,894
