Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,5.3,3.5,3.8,5.0,4.6,4.6,4.6,3.7,3.3,3.7,2.7,2.4
2002,4.1,2.5,2.8,3.8,3.9,3.7,3.8,3.5,2.8,3.2,3.0,2.6
2003,3.7,2.3,2.3,3.7,3.6,3.9,3.1,3.5,2.6,2.8,2.4,2.6
2004,2.9,2.8,2.9,3.9,5.1,3.7,4.3,3.3,3.3,3.1,2.8,3.4
2005,2.4,2.9,3.6,4.0,4.1,4.7,3.9,4.0,3.9,3.5,3.3,3.5
2006,4.4,3.6,4.2,4.8,4.6,5.0,4.3,4.8,4.3,4.1,3.9,3.6
2007,6.5,3.6,4.3,5.2,5.0,5.7,4.8,4.9,4.7,4.3,3.8,4.1
2008,4.7,3.3,3.7,3.8,6.0,3.9,3.8,3.5,3.2,3.3,2.4,2.3
2009,2.4,2.2,2.3,2.5,3.0,3.0,2.2,2.4,2.4,2.4,2.2,2.2
2010,2.5,2.5,2.9,3.4,3.2,3.1,2.8,2.7,2.8,3.1,2.5,2.4
2011,2.3,2.6,3.3,3.2,3.6,3.9,3.6,3.2,3.4,3.2,2.4,2.7
2012,2.5,2.3,3.1,3.7,3.9,4.0,3.4,3.1,3.2,3.1,2.7,3.1
2013,3.3,3.1,3.7,4.3,4.7,4.2,3.9,3.7,3.7,3.9,2.9,3.3
2014,3.6,3.5,3.5,5.1,4.9,5.3,5.0,4.5,4.2,4.1,3.4,3.9
2015,4.8,4.4,4.4,5.5,4.9,4.6,5.3,4.2,4.4,4.4,3.7,4.2
2016,5.0,3.7,4.5,5.6,5.7,5.5,5.0,4.4,4.6,4.7,4.3,4.2
2017,4.1,4.0,4.4,5.6,5.4,5.7,5.4,5.1,5.0,5.0,4.1,4.5
2018,4.5,4.1,4.7,5.3,6.0,6.4,5.8,5.6,5.5,5.1,4.6,5.2
2019,4.9,4.5,4.9,6.0,6.5,6.3,6.2,5.5,5.3,4.7,4.3,5.1
2020,4.9,4.4,4.4,5.1,5.5,4.9,5.5,4.9,5.2,4.9,4.4,5.4
2021,5.3,5.1,6.6,8.1,8.8,7.9,8.4,7.4,7.2,7.9,6.7,8.5
